name,source_schema,source_table,snapshot_target_schema,snapshot_target_name,source_filter,test_target_schema,test_target_table,primary_key,validation_filter,is_input
EMPLOYEE_PROFILE_WK_GAP,edw_prd,EMPLOYEE_PROFILE_WK_GAP,data_harness_empl_protected,EMPLOYEE_PROFILE_WK_GAP,1=1,qa_empl_protected,legacy_EMPLOYEE_PROFILE_WK_GAP,WEEK_DT|EMPLOYEE_ID,,
EMPLOYEE_SUBGROUP,edw_prd,EMPLOYEE_SUBGROUP,nzmigration,EMPLOYEE_SUBGROUP,1=1,qa_legacy,EMPLOYEE_SUBGROUP,EMPL_GROUP_CD|EMPL_SUBGROUP_CD,,
ETHNIC_GROUP,edw_prd,ETHNIC_GROUP,nzmigration,ETHNIC_GROUP,1=1,qa_legacy,ETHNIC_GROUP,ETHNIC_GROUP_ID,,
JOB_CODE,edw_prd,JOB_CODE,nzmigration,JOB_CODE,1=1,qa_legacy,JOB_CODE,JOB_CODE,,
PS_ABSENCE_QUOTA,edw_prd,PS_ABSENCE_QUOTA,nzmigration,PS_ABSENCE_QUOTA,1=1,qa_legacy,PS_ABSENCE_QUOTA,PS_ABSENCE_QUOTA_CD,,
PS_ABSENCE_TYPE,edw_prd,PS_ABSENCE_TYPE,nzmigration,PS_ABSENCE_TYPE,1=1,qa_legacy,PS_ABSENCE_TYPE,PS_ABSENCE_TYPE_CD,,
PS_ACCOMPLISHMENT,edw_prd,PS_ACCOMPLISHMENT,nzmigration,PS_ACCOMPLISHMENT,1=1,qa_legacy,PS_ACCOMPLISHMENT,PS_ACCOMP_TYPE_CD,,
PS_ACTION,edw_prd,PS_ACTION,nzmigration,PS_ACTION,1=1,qa_legacy,PS_ACTION,PS_ACTION_CD,,
PS_ACTION_REASON,edw_prd,PS_ACTION_REASON,nzmigration,PS_ACTION_REASON,1=1,qa_legacy,PS_ACTION_REASON,PS_ACTION_CD|PS_ACTION_REASON_CD,,
PS_DATE_TYPE,edw_prd,PS_DATE_TYPE,nzmigration,PS_DATE_TYPE,1=1,qa_legacy,PS_DATE_TYPE,PS_DATE_TYPE_CD,,
PS_DEPARTMENT,edw_prd,PS_DEPARTMENT,nzmigration,PS_DEPARTMENT,1=1,qa_legacy,PS_DEPARTMENT,PS_DEPT_CD,,
PS_EDU_DEGREE_LVL,edw_prd,PS_EDU_DEGREE_LVL,nzmigration,PS_EDU_DEGREE_LVL,1=1,qa_legacy,PS_EDU_DEGREE_LVL,PS_EDU_DEGREE_LVL,,
PS_EDU_FIELD,edw_prd,PS_EDU_FIELD,nzmigration,PS_EDU_FIELD,1=1,qa_legacy,PS_EDU_FIELD,PS_EDU_FIELD_CD,,
PS_EDU_TYPE,edw_prd,PS_EDU_TYPE,nzmigration,PS_EDU_TYPE,1=1,qa_legacy,PS_EDU_TYPE,PS_EDU_TYPE_CD,,
PS_INDIRECT_WAGE_TYPE,edw_prd,PS_INDIRECT_WAGE_TYPE,nzmigration,PS_INDIRECT_WAGE_TYPE,1=1,qa_legacy,PS_INDIRECT_WAGE_TYPE,PS_WAGE_TYPE_GID|PS_WAGE_TYPE_AMT_EFF_DT,,
