database_name,table_name,column_name,data_type,pii_metadata_type,masking_policy,load_ts,updated_ts,load_user,update_user
cust_sensitive,refine_fedex_shipping_package_rpt,SHIPPER_POSTAL_CODE,StringType,STREET_ADDRESS,Star Mask,2022-09-27T21:27:21.077+0000,2022-09-27T21:27:21.077+0000,Automated Script,Automated Script
refine,acxiom_data_elements,ELEMENT_VALUES,StringType,AGE,Star Mask,2022-04-22T13:44:46.395+0000,2022-04-22T13:44:46.395+0000,Automated Script,Automated Script
refine,acxiom_reverse_append,ACX_VALID_PHONE_1,StringType,PHONE_NUMBER,Phone Mask,2022-04-22T13:48:32.381+0000,2022-04-22T13:48:32.381+0000,Automated Script,Automated Script
refine,acxiom_reverse_append,ACX_FIRST_NAME,StringType,PERSON_NAME,Star Mask,2022-04-22T13:48:32.381+0000,2022-04-22T13:48:32.381+0000,Automated Script,Automated Script
refine,acxiom_reverse_append,ACX_LASTNAME,StringType,PERSON_NAME,Star Mask,2022-04-22T13:48:32.381+0000,2022-04-22T13:48:32.381+0000,Automated Script,Automated Script
refine,acxiom_reverse_append,ACX_GEO_Tract,StringType,STREET_ADDRESS,Star Mask,2022-04-22T13:48:32.381+0000,2022-04-22T13:48:32.381+0000,Automated Script,Automated Script
refine,aimia_member,first_name,StringType,PERSON_NAME,Star Mask,2022-04-22T13:51:54.426+0000,2022-04-22T13:51:54.426+0000,Automated Script,Automated Script
refine,aimia_member,last_name,StringType,PERSON_NAME,Star Mask,2022-04-22T13:51:54.426+0000,2022-04-22T13:51:54.426+0000,Automated Script,Automated Script
refine,aimia_member,birthdate_year,IntegerType,DATE_OF_BIRTH,Date Mask,2022-04-22T13:51:54.426+0000,2022-04-22T13:51:54.426+0000,Automated Script,Automated Script
refine,aimia_member_details,FIRST_NAME,StringType,PERSON_NAME,Star Mask,2022-04-22T13:56:28.894+0000,2022-04-22T13:56:28.894+0000,Automated Script,Automated Script
refine,aimia_member_details,LAST_NAME,StringType,PERSON_NAME,Star Mask,2022-04-22T13:56:28.894+0000,2022-04-22T13:56:28.894+0000,Automated Script,Automated Script
refine,aimia_member_details,MOBILE_PHONE_NBR,StringType,PHONE_NUMBER,Phone Mask,2022-04-22T13:56:28.894+0000,2022-04-22T13:56:28.894+0000,Automated Script,Automated Script
refine,aimia_member_phone,mobile_phone_number,StringType,PHONE_NUMBER,Phone Mask,2022-04-22T13:58:20.294+0000,2022-04-22T13:58:20.294+0000,Automated Script,Automated Script
refine,aimia_member_ranking,member_first_name,StringType,PERSON_NAME,Star Mask,2022-04-22T14:06:07.218+0000,2022-04-22T14:06:07.218+0000,Automated Script,Automated Script
refine,aimia_member_ranking,member_last_name,StringType,PERSON_NAME,Star Mask,2022-04-22T14:06:07.218+0000,2022-04-22T14:06:07.218+0000,Automated Script,Automated Script
refine,aimia_reward_issued,member_mobile_phone,StringType,PHONE_NUMBER,Phone Mask,2022-04-22T14:08:10.148+0000,2022-04-22T14:08:10.148+0000,Automated Script,Automated Script
refine,aimia_reward_issued,member_first_name,StringType,PERSON_NAME,Star Mask,2022-04-22T14:08:10.148+0000,2022-04-22T14:08:10.148+0000,Automated Script,Automated Script
refine,aimia_reward_issued,member_last_name,StringType,PERSON_NAME,Star Mask,2022-04-22T14:08:10.148+0000,2022-04-22T14:08:10.148+0000,Automated Script,Automated Script
refine,aimia_reward_issued_cancelled,MOBILE_PHONE_NBR,StringType,PHONE_NUMBER,Phone Mask,2022-04-22T14:09:07.642+0000,2022-04-22T14:09:07.642+0000,Automated Script,Automated Script
refine,aimia_reward_issued_cancelled,FIRST_NM,StringType,PERSON_NAME,Star Mask,2022-04-22T14:09:07.642+0000,2022-04-22T14:09:07.642+0000,Automated Script,Automated Script
refine,aimia_reward_issued_cancelled,LAST_NM,StringType,PERSON_NAME,Star Mask,2022-04-22T14:09:07.642+0000,2022-04-22T14:09:07.642+0000,Automated Script,Automated Script
refine,aimia_transaction,FIRST_NM,StringType,PERSON_NAME,Star Mask,2022-04-22T14:10:50.178+0000,2022-04-22T14:10:50.178+0000,Automated Script,Automated Script
refine,aimia_transaction,LAST_NM,StringType,PERSON_NAME,Star Mask,2022-04-22T14:10:50.178+0000,2022-04-22T14:10:50.178+0000,Automated Script,Automated Script
refine,aimia_transaction,MOBILE_PHONE_NBR,StringType,PHONE_NUMBER,Phone Mask,2022-04-22T14:10:50.178+0000,2022-04-22T14:10:50.178+0000,Automated Script,Automated Script
refine,aimia_txn_sync,firstname,StringType,PERSON_NAME,Star Mask,2022-04-22T14:15:45.481+0000,2022-04-22T14:15:45.481+0000,Automated Script,Automated Script
refine,aimia_txn_sync,lastname,StringType,PERSON_NAME,Star Mask,2022-04-22T14:15:45.481+0000,2022-04-22T14:15:45.481+0000,Automated Script,Automated Script
refine,aimia_txn_sync,primary_phone,StringType,PHONE_NUMBER,Phone Mask,2022-04-22T14:15:45.481+0000,2022-04-22T14:15:45.481+0000,Automated Script,Automated Script
refine,cdm_customer,first_name,StringType,PERSON_NAME,Star Mask,2022-04-22T16:46:13.891+0000,2022-04-22T16:46:13.891+0000,Automated Script,Automated Script
